Run,Assay Type,Center Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Platform,ReleaseDate,SRA Study,BioSample,Organism,Sample Name,DATASTORE filetype,DATASTORE provider,DATASTORE region,BioProject,Bytes,create_date,version,AvgSpotLen,Bases,Library Name,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,Strain,BioSampleModel,geo_loc_name,Host,Isolation_Source,Lat_Lon,collected_by,Host_disease,Isolate,Sample_Name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),INSDC_center_name,Submitter_Id,ENA_first_public,ENA-LAST-UPDATE,External_Id,INSDC_center_alias,INSDC_first_public,INSDC_last_update,INSDC_status,Sample_Type,ArrayExpress-SPECIES,MLST,common_name,AssemblyName,Subject_ID,COUNTRY,geographic_location_(country_and/or_sea),Genotype,TREATMENT,isolate_name_alias,sra_title (run),host_scientific_name,host_health_state,Time,specific_host,source_name,Drug_concentration_ug/ml,Bank,Generations,GEO_Accession (exp),TEST,REPLICATE,MLST#,supplier_name,host_status,Sample_Description,ref_biomaterial,isol_growth_condt,num_replicons,project_name,env_broad_scale,env_local_scale,env_medium,anonymized_name,host_sex,ArrayExpress-STRAIN_OR_LINE,Serovar,BIOMATERIAL_PROVIDER,geographic_location_(region_and_locality),MLST#_Scheme,isolation-source,Host_age,gssr_id (exp),gssr_id (run),instrument_name (run),lsid (exp),lsid (run),material_type (exp),molecular_indexing_scheme (run),project (exp),project (run),run_barcode (run),run_name (run),work_request (exp),work_request (run),flowcell_barcode (run),lane (run),read_group_id (run),read_group_platform_unit (run),media,analysis_type (exp),analysis_type (run),library_type (exp),library_type (run),bio_material,host_associated,Broker_name,CULTURE_COLLECTION,host_description,antibiotic,TimePoint,platform_model,nat-host,host_tissue_sampled,Concentration,geographic_location_(country_and/or_sea,_region),isolation_type,passage_history,product_order (exp),product_order (run),product_part_number (exp),product_part_number (run),research_project (exp),research_project (run),ArrayExpress-Sex,gender,type-material,Temp,alternate_id,Sample_id,root_sample_id (exp),root_sample_id (run),sample_id (exp),sample_id (run),exposure,Library,Specimen_voucher
ERR3569448,WGS,UNIVERSITAETSKLINIKUM FREIBURG,public,ERX3567786,Illumina MiSeq,PAIRED,unspecified,GENOMIC,ILLUMINA,2019-10-03T00:00:00Z,ERP117631,SAMEA5987517,Acinetobacter baumannii,SAMEA5987517,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",PRJEB34692,72005485,2019-10-06T08:42:00Z,1,297,136890709,unspecified,2017,South Africa,Africa,Aci00879,,,,clinical material,33.913812 S 18.614446 E,,,Aci00879,Aci00879,2019-10-02,2019-10-09,Universitaetsklinikum Freiburg,Aci00879,2019-10-02,2019-10-02,SAMEA5987517,Universitaetsklinikum Freiburg,2019-10-02T17:22:39Z,2019-10-02T12:31:00Z,public,,,,,,,,South Africa,,,,,Homo sapiens,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,clinical material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3569449,WGS,UNIVERSITAETSKLINIKUM FREIBURG,public,ERX3567787,Illumina MiSeq,PAIRED,unspecified,GENOMIC,ILLUMINA,2019-10-03T00:00:00Z,ERP117631,SAMEA5987518,Acinetobacter baumannii,SAMEA5987518,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",PRJEB34692,88856335,2019-10-06T08:42:00Z,1,298,170316530,unspecified,2017,South Africa,Africa,Aci00880,,,,clinical material,33.913812 S 18.614446 E,,,Aci00880,Aci00880,2019-10-02,2019-10-09,Universitaetsklinikum Freiburg,Aci00880,2019-10-02,2019-10-02,SAMEA5987518,Universitaetsklinikum Freiburg,2019-10-02T17:22:39Z,2019-10-02T12:31:01Z,public,,,,,,,,South Africa,,,,,Homo sapiens,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,clinical material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3569450,WGS,UNIVERSITAETSKLINIKUM FREIBURG,public,ERX3567788,Illumina MiSeq,PAIRED,unspecified,GENOMIC,ILLUMINA,2019-10-03T00:00:00Z,ERP117631,SAMEA5987519,Acinetobacter baumannii,SAMEA5987519,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",PRJEB34692,100262891,2019-10-06T08:42:00Z,1,297,191577272,unspecified,2017,South Africa,Africa,Aci00881,,,,clinical material,33.913812 S 18.614446 E,,,Aci00881,Aci00881,2019-10-02,2019-10-02,Universitaetsklinikum Freiburg,Aci00881,2019-10-02,2019-10-02,SAMEA5987519,Universitaetsklinikum Freiburg,2019-10-02T17:22:39Z,2019-10-02T12:31:04Z,public,,,,,,,,South Africa,,,,,Homo sapiens,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,clinical material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3569451,WGS,UNIVERSITAETSKLINIKUM FREIBURG,public,ERX3567789,Illumina MiSeq,PAIRED,unspecified,GENOMIC,ILLUMINA,2019-10-03T00:00:00Z,ERP117631,SAMEA5987520,Acinetobacter baumannii,SAMEA5987520,"run.zq,fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",PRJEB34692,118608135,2019-10-06T08:43:00Z,1,297,233222668,unspecified,2017,South Africa,Africa,Aci00882,,,,clinical material,33.913812 S 18.614446 E,,,Aci00882,Aci00882,2019-10-02,2019-10-09,Universitaetsklinikum Freiburg,Aci00882,2019-10-02,2019-10-02,SAMEA5987520,Universitaetsklinikum Freiburg,2019-10-02T17:22:39Z,2019-10-02T12:31:07Z,public,,,,,,,,South Africa,,,,,Homo sapiens,not provided,,,,,,,,,,,,,,,,,,,,,,,,,,Cape Town,,,,,,,,,,,,,,,,,,,,,,,,,,clinical material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR10583096,WGS,RIGSHOSPITALET,public,SRX7263414,Illumina MiniSeq,PAIRED,RANDOM PCR,GENOMIC,ILLUMINA,2019-12-31T00:00:00Z,SRP233844,SAMN13422049,Acinetobacter baumannii,15-S-O-c1,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",PRJNA592050,287894217,2019-12-04T06:50:00Z,1,465,498211256,15-S-O-c1,2016-09-21,Ghana,Africa,,"Microbe\, viral or environmental",Ghana,Homo sapiens,Surgical site infection,,,,isolate from agar plate typed by MALDI-TOF,,,,,,,,,,,,,single cell,,,,,,,,,,,,Air bacteria from surgical room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR9017260,WGS,NATIONAL UNIVERSITY BIOMEDICAL RESEARCH INSTITUTE,public,SRX5795398,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,ILLUMINA,2019-05-06T00:00:00Z,SRP195526,SAMN11096027,Acinetobacter baumannii,NUBRI-5,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",PRJNA526336,266918446,2019-05-06T11:14:00Z,1,464,412576169,M02621_0149_S19,2019-01-25,Sudan,Africa,NUBRI-A,Pathogen.cl,Sudan: Khartoum,Homo sapiens,sputum,15.16 N 31.5 E,National University Biomedical Research Institute- Sudan,pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR3938696,WGS,"UNIVERSITY OF GREIFSWALD, INSTITUTE OF PHARMACY",public,ERX3946544,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,ILLUMINA,2020-02-28T00:00:00Z,ERP119772,SAMEA6574530,Acinetobacter baumannii,SAMEA6574530,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",PRJEB36565,834893769,2020-06-18T18:07:00Z,1,302,2467029242,,2014,Rwanda,Africa,PBIO721,,,,"tertiary hospital\, surgery",,,,,PBIO721,2020-02-25,2020-02-24,"University of Greifswald\, Institute of Pharmacy",PBIO721,2020-02-25,2020-02-20,SAMEA6574530,"University of Greifswald\, Institute of Pharmacy",2020-02-25T17:11:30Z,2020-02-20T13:24:37Z,public,,,,,,,,Rwanda,,,,,Musca domestica,,,,,,,,,,,,,,,,,,MRGN on flies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR11514880,WGS,SCIENSANO,public,SRX8086491,Illumina MiSeq,PAIRED,RANDOM,GENOMIC,ILLUMINA,2021-01-07T00:00:00Z,SRP255791,SAMN14567567,Acinetobacter baumannii,3159,"sra,fastq,run.zq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",PRJNA624101,186473719,2020-04-10T14:27:00Z,1,459,396171256,L_3159,2019-03-06,Benin,Africa,3159,Pathogen.cl,Benin,Homo sapiens,Surgical wound,6.38 N 2.45 E,Centre National Hospitalier et Universitaire Hubert Koutoukou Maga,Hematoma,,,,,,,,,,,,,,,,,,,,,,ST836,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,female,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14116705,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10487148,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266009,Acinetobacter baumannii,19,"fastq,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",PRJNA690827,143705809,2021-03-31T02:29:00Z,1,449,235649855,M19,2020,Egypt,Africa,M19,Pathogen.cl,Egypt: Cairo,Homo sapiens,blood,30.03 N 31.23 E,Hospital in Cairo,FUO,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR14116736,WGS,OCTOBER UNIVERSITY FOR MODERN SCIENCES AND ARTS,public,SRX10487179,Illumina MiSeq,PAIRED,PCR,GENOMIC,ILLUMINA,2021-06-01T00:00:00Z,SRP301224,SAMN17266010,Acinetobacter baumannii,20,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",PRJNA690827,145063184,2021-03-31T03:19:00Z,1,449,248927755,M20,2020,Egypt,Africa,M20,Pathogen.cl,Egypt: Cairo,Homo sapiens,blood,30.03 N 31.23 E,Hospital in Cairo,Splenectomy and feverish,,,,,,,,,,,,,,,,,,,,,,,,,,Homo sapiens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
